KOD_SUKL;DATOD;DATDO;POVOL_BALENI;UCEL;PRACOVISTE;DISTRIBUTOR;POZNAMKA;PREDKLADATEL;VYROBCE
0115528;24.05.2021;30.06.2026;45;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu tìkıch otrav kyanidy, kyanovodíkem, nitrily (slouèeninami s kyanoskupinou -C N) a spalinami uvolòujícími se z doutnajících poárù a hoøících plastù (pozn. není-li dostupné antidotum nezpùsobující methemoglobinémii).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;Dr. Franz Köhler Chemie GmbH, Werner-von Siemens-Str. 14-28, 64625, Bensheim, Nìmecko
0136446;12.07.2024;31.07.2026;6000;Léèba akutní leukemie a navození remise, udrovací léèba akutní lymfoblastické leukemie a akutní myeloidní leukemie. Léèivı pøípravek je urèen pro dìti, mladistvé a dospìlé pacienty.;"Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe v oborech hematologie a transfuzní lékaøství, dìtská onkologie a hematologie; klinická onkologie, radiaèní onkologie a onkogynekologie.";PHOENIX lékárenskı velkoobchod, s.r.o., K Pérovnì 945/7, 102 00 Praha 10 - Hostivaø.;;Aspen Pharma Trading Limited, se sídlem 3016 Lake Drive, CityWest Business Campus, Dublin D24 X586, Irsko;"Excella GmbH & Co. KG, Nürnberger Strasse 12, Feucht, 90537, Nìmecko;
Aspen Bad Oldesloe GmbH, Industriestrasse 32-36, Bad Oldesloe, 23843, Nìmecko"
0154809;23.11.2021;30.11.2026;150;"Zajištìní pohotovostní zásoby léèivého pøípravku s léèivou látkou fysostigmin jako antidota pro léèbu otrav doprovázenıch tìkım centrálním anticholinergním syndromem, napø. alkoholem, tropanovımi alkaloidy (hyoscyamin, atropin, skopolamin; napø v rodech rostlin Durmanovec, Durman, Rulík), muchomùrkou tygrovanou a muchomùrkou èervenou; tricyklickımi antidepresivy (amitriptylin, imipramin, trimipramin, klomipramin, doxepin), antiemetiky/antihistaminiky (fenothiazin, thioridazin, chlorpromazin, promethazin, difenhydramin, dimenhydrinát), neuroleptiky (zejména butyrofenony), benzodiazepiny, spasmolytiky (tolterodin, oxybutynin), antiparkinsoniky (amantadin, difenhydramin), baklofenem, kyselinou gama-hydroxymáselnou, inhalaèními anestetiky, ketaminem, 3-chinuklidinyl benzylátem.";Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;Dr.Franz Köhler Chemie GmbH, Werner-von-Siemens-Str. 14-28, D-64625 Bensheim, Nìmecko
0185085;11.03.2022;28.02.2027;100;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu akutní intoxikace jedem zmije obecné a dalších zmijí (jde o hypoalergenní antisérum vhodné pro dìti a alergické osoby).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;MicroPharm Ltd, Station Road Industrial Estate, Newcastle Emlyn, SA38 9BY, Spojené království Velké Británie a Severního Irska
0185261;05.11.2024;31.01.2027;3000;Léèba dospìlıch pacientù (muù a en) s neinvazivním karcinomem urotelu moèového mìchıøe.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe se specializací v oborech urologie, urogynekoonkologie, klinická onkologie.;"- PHOENIX, lékárenskı velkoobchod, s.r.o., K Pérovnì 945/7, Hostivaø, 102 00 Praha 10,
- PHARMOS a.s., Tìšínská 1349/296, Radvanice, 716 00 Ostrava,
- ViaPharma s.r.o., Na Florenci 2116/15, Nové Mìsto, 110 00 Praha 1,
- Alliance Healthcare s.r.o., Podle Trati 624/7, 10 800 Praha 10 ? Malešice.";V souladu s tímto rozhodnutím je léèivı pøípravek moné distribuovat do 31. 1. 2025. Léèivı pøípravek dodanı do lékáren je moné vydávat a pouívat pøi poskytování zdravotních slueb po dobu jeho doby pouitelnosti.;"Medac Gesellschaft für klinische Spezialpräparate m.b.H, Theaterstr. 6, 22880
Wedel, Nìmecko.";Medac Gesellschaft für klinische Spezialpräparate m.b.H., Theaterstr. 6, 22880 Wedel, Spolková republika Nìmecko
0185266;28.04.2026;30.04.2028;22000;Léèivı pøípravek FLUDROCOTISON je indikován k léèbì pacientù s primární adrenokortikální insuficiencí (Addisonova choroba) a sekundární adrenokortikální insuficiencí s minerálovım rozvratem èi hypotenzí, pacientù po operaci nadledvin, pacientù s adrenogenitálním syndromem s vysokımi ztrátami soli. Na základì rozhodnutí ošetøujícího lékaøe pacienta lze v souladu s doporuèeními odbornıch spoleèností léèivı pøípravek FLUDROCOTISON pouít pøi léèbì tìkıch forem ortostatické hypotenze.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe v oborech vnitøní lékaøství, dìtské lékaøství, praktické lékaøství pro dìti a dorost, endokrinologie (vèetnì dìtské), kardiologie.;PHOENIX lékárenskı velkoobchod, s.r.o., K Pérovnì 945/7, 102 00 Praha 10 - Hostivaø;;Viatris CZ s. r. o., Evropská 2590/33c, 160 00 Praha 6;Haupt Pharma Amareg GmbH, Donaustaufer Straße 378, 93055 Regensburg, Nìmecko
0185321;01.09.2025;31.08.2027;260;"Zajištìní léèivého pøípravku s léèivou látkou alemtuzumab pro léèbu:
- dospìlıch pacientù s chronickou lymfocytární leukemií (CLL), kteøí jsou refrakterní na léèbu standardními pøípravky registrovanımi v Èeské republice,
- dospìlıch pacientù s T-prolymfocytární leukemií,
- dospìlıch pacientù s CLL indukovanou autoimunní hemolytickou anémií èi autoimunitní trombocytopenií, s dalšími lymfoproliferativními onemocnìními.
Ošetøující lékaøi by mìli postupovat v souladu s odbornou informací o pøípravku (Preskripèní informace) a souèasnì s doporuèeními Èeské hematologické spoleènosti Èeské lékaøské spoleènosti J. E. Purkynì ? Èervená kniha Léèebné postupy v hematologii v aktuální verzi zveøejnìné na https://www.hematology.cz/doporuceni-chs/, resp. doporuèeními Èeské skupiny pro chronickou lymfocytární leukémii (https://cll.cz/node/31).";"- Interní hematologická a onkologická klinika, Fakultní nemocnice Brno, Jihlavská 340/20, 625 00 Brno,
- I. interní klinika ? klinika hematologie, Všeobecná fakultní nemocnice v Praze, U nemocnice 499/2, 128 08 Praha 2,
- Ústav hematologie a krevní transfuze, U nemocnice 2094/1, 128 00 Praha 2,
- IV. interní hematologická klinika, Fakultní nemocnice Hradec Králové, Sokolská 581, 500 05 Hradec Králové,
- Interní hematologická klinika, Fakultní nemocnice Královské Vinohrady, Šrobárova 1150/50, 100 34 Praha 10,
- Hematologicko-onkologické oddìlení, Fakultní nemocnice Plzeò, Alej Svobody 923/80, 323 00 Plzeò,
- Hemato-onkologická klinika, Fakultní nemocnice Olomouc, I.P. Pavlova 185/6, 779 00 Olomouc,
- Klinika hematoonkologie, Fakultní nemocnice Ostrava, 17. listopadu 1790/5, 708 52 Ostrava-Poruba.";Sanofi s.r.o., Generála Píky 430/26, 160 00 Praha 6;Vzhledem k tomu, e na obalu léèivého pøípravku je uveden 2D kód, kterı není jedineènım identifikátorem ve smyslu naøízení Komise v pøenesené pravomoci (EU) 2016/161 ze dne 2. øíjna 2015, kterım se doplòuje smìrnice Evropského parlamentu a Rady 2001/83/ES, stanovením podrobnıch pravidel pro ochranné prvky uvedené na obalu humánních léèivıch pøípravkù (dále jen ?naøízení o ochrannıch prvcích?), je vıdej léèivého pøípravku monı bez ovìøení 2D kódu.;Sanofi s.r.o., Generála Píky 430/26, 160 00 Praha 6;"EUROAPI UK Limited, 37 Hollands Road, Haverhill, Suffolk, CB9 8PU, Spojené Království; Sanofi Ireland Limited, Unit 701IDA Industrial Park, Old Kilmeaden Road, Waterford, Irsko"
0185321;01.11.2024;31.10.2027;45;"Zajištìní léèivého pøípravku s léèivou látkou alemtuzumab pro léèbu pacientù starších 18 let, kterı je indikován po transplantaci orgánù jako léèba 2. linie v pøípadì:
-indukèní léèby u pacientù s vysokım imunologickım rizikem, u kterıch není moná léèba králièím antithymocytárním globulinem nebo se nepøedpokládá jeho dostateèná úèinnost,
-záchranné léèby u pacientù s biopticky ovìøenou refrakterní akutní celulární rejekcí.
Léèba je nejèastìji indikována po transplantaci ledvin a ve vıjimeènıch pøípadech po transplantaci jinıch orgánù. Toto léèebné pouití alemtuzumabu je v souladu s Doporuèenım postupem Spoleènosti pro orgánové transplantace ÈLS JEP pro léèbu alemtuzumabem u nemocnıch po transplantaci orgánù (verze 18. 10. 2024).";Klinika nefrologie, Transplantcentrum IKEM;Sanofi s.r.o., Generála Píky 430/26, 160 00 Praha 6;Vzhledem k tomu, e na obalu léèivého pøípravku je uveden 2D kód, kterı není jedineènım identifikátorem ve smyslu naøízení Komise v pøenesené pravomoci (EU) 2016/161 ze dne 2. øíjna 2015, kterım se doplòuje smìrnice Evropského parlamentu a Rady 2001/83/ES, stanovením podrobnıch pravidel pro ochranné prvky uvedené na obalu humánních léèivıch pøípravkù (dále jen ?naøízení o ochrannıch prvcích?), je vıdej léèivého pøípravku monı bez ovìøení uvedeného 2D kódu.;Institut klinické a experimentální medicíny, Vídeòská 1958/9, 140 21 Praha 4;"EUROAPI UK Limited, 37 Hollands Road, Haverhill, Suffolk, CB9 8PU, Spojené Království; Sanofi Ireland Limited, Unit 701IDA Industrial Park, Old Kilmeaden Road, Waterford, Irsko."
0185336;19.07.2025;30.06.2027;200;"Zajištìní léèby pacientù s maligní fenylketonurií na podkladì dìdièné poruchy metabolismu pterinù. Vzhledem k tomu, e v rámci specifického léèebného programu není léèivı pøípravek LEVOTONINE pouíván v souladu se souhrnem údajù o pøípravku, tj. je pouíván v jiné indikaci, ošetøující lékaøi by mìli pøi léèbì postupovat v souladu s mezinárodnì doporuèenımi postupy léèby uvedeného metabolického onemocnìní:
-Burlina, A., van Spronsen, F.J., Blau, N. (2022). Disorders of Phenylalanine and Tetrahydrobiopterin Metabolism. In: Blau, N., Dionisi Vici, C., Ferreira, C.R., Vianey-Saban, C., van Karnebeek, C.D.M. (eds) Physician's Guide to the Diagnosis, Treatment, and Follow-Up of Inherited Metabolic Diseases. Springer, Cham. https://doi.org/10.1007/978-3-030-67727-5_20
-https://pmc.ncbi.nlm.nih.gov/articles/PMC5639803/
-https://www.fda.gov/drugs/drug-safety-and-availability/fda-issues-guidance-compounding-oral-oxitriptan-5-htp-patients-tetrahydrobiopterin-bh4-deficiency
-https://ojrd.biomedcentral.com/articles/10.1186/s13023-020-01379-8.";Klinika pediatrie a dìdiènıch poruch metabolismu Všeobecné fakultní nemocnice v Praze, Ke Karlovu 455/2, 128 08 Praha 2.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 110 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2;"PANPHARMA, Z.I. du Clairay 351 33, Luitré, Francie;
LAPHAL Industries, 248 Avenue de la Victoire, 131 06 Rousset, Francie"
0185384;24.05.2021;31.05.2026;;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu koní, mukokutánní a viscerální leishmaniózy.;"Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).
";PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;750 ampulek (platí pro oba pøípravky celkem);Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;"Haupt Pharma Livron S.A.S., 1 Rue Comte de Sinard 26250 Livron, Francie 
 Famar Health Care Services Madrid S.A.U., Avenida Leganés 62, 28923 Alcorcón, Madrid, Španìlsko."
