KOD_SUKL;KOD_LATKY;SQ;S;AMNT_OD;AMNT;UN
0028434;1322;4;X;;;QS
0028434;1166;5;X;;;QS
0028434;2044;6;A;;0,6;ML
0028435;16483;1;L;;0,5;MG
0028435;5077;2;X;;;QS
0028435;2461;3;X;;;QS
0028435;1322;4;X;;;QS
0028435;1166;5;X;;;QS
0028435;2044;6;A;;1;ML
0028437;9386;1;L;;25;MG
0028437;3755;2;X;;;QS
0028437;4296;3;X;;PL;MG
0028437;1335;4;X;;;QS
0028437;;5;X;;;
0028437;2855;6;X;;;QS
0028437;2710;7;X;;;QS
0028437;3113;8;X;;;QS
0028437;1216;9;X;;;QS
0028437;2887;10;X;;;QS
0028437;4538;11;X;;;QS
0028438;9386;1;L;;25;MG
0028438;3755;2;X;;;QS
0028438;4296;3;X;;PL;MG
0028438;1335;4;X;;;QS
0028438;;5;X;;;
0028438;2855;6;X;;;QS
0028438;2710;7;X;;;QS
0028438;3113;8;X;;;QS
0028438;1216;9;X;;;QS
0028438;2887;10;X;;;QS
0028438;4538;11;X;;;QS
0028439;9386;1;L;;50;MG
0028439;3755;2;X;;;QS
0028439;4296;3;X;;PL;MG
0028439;1335;4;X;;;QS
0028439;;5;X;;;
0028439;2855;6;X;;;QS
0028439;2710;7;X;;;QS
0028439;3113;8;X;;;QS
0028439;1216;9;X;;;QS
0028439;2887;10;X;;;QS
0028439;4538;11;X;;;QS
0028440;9386;1;L;;100;MG
0028440;3755;2;X;;;QS
0028440;4296;3;X;;PL;MG
0028440;1335;4;X;;;QS
0028440;;5;X;;;
0028440;2855;6;X;;;QS
0028440;2710;7;X;;;QS
0028440;4527;8;X;;PL;MG
0028440;3789;9;X;;PL;MG
0028440;3113;10;X;;;QS
0028440;1216;11;X;;;QS
0028440;2887;12;X;;;QS
0028440;4538;13;X;;;QS
0028441;18954;1;L;;;QS
0028441;0;2;Z;;;
0028441;14597;3;O;;50;MCG
0028441;875;4;X;;;QS
0028441;519;5;X;;;QS
0028441;1940;6;X;;;QS
0028441;366;7;X;;;QS
0028441;21076;8;X;;;QS
0028441;20300;9;X;;;QS
0028441;2044;10;A;;1;ML
0028442;15811;1;L;;25;MG
0028442;875;2;X;;;QS
0028442;1383;3;X;;;QS
0028442;1883;4;X;;;QS
0028442;;5;S;;8;DF
0028442;2044;6;R;;1;ML
0028442;;7;S;;8;DF
0028443;15811;1;L;;25;MG
0028443;875;2;X;;;QS
0028443;1383;3;X;;;QS
0028443;1883;4;X;;;QS
0028443;;5;S;;24;DF
0028443;2044;6;R;;1;ML
0028443;;7;S;;24;DF
0028444;12990;1;L;;;QS
0028444;0;2;Z;;;
0028444;9518;3;O;;5;MG
0028444;13182;4;L;;80;MG
0028444;3755;5;X;;;QS
0028444;17840;6;X;;;QS
0028444;1300;7;X;;;QS
0028444;2378;8;X;;;QS
0028444;;9;X;;;
0028444;10256;10;X;;;QS
0028444;2710;11;X;;;QS
0028444;4256;12;X;;;QS
0028444;2404;13;X;;;QS
0028444;1871;14;X;;;QS
0028445;12990;1;L;;;QS
0028445;0;2;Z;;;
0028445;9518;3;O;;5;MG
0028445;13182;4;L;;80;MG
0028445;3755;5;X;;;QS
0028445;17840;6;X;;;QS
0028445;1300;7;X;;;QS
0028445;2378;8;X;;;QS
0028445;;9;X;;;
0028445;10256;10;X;;;QS
0028445;2710;11;X;;;QS
0028445;4256;12;X;;;QS
0028445;2404;13;X;;;QS
0028445;1871;14;X;;;QS
0028446;12990;1;L;;;QS
0028446;0;2;Z;;;
0028446;9518;3;O;;5;MG
0028446;13182;4;L;;80;MG
0028446;3755;5;X;;;QS
0028446;17840;6;X;;;QS
0028446;1300;7;X;;;QS
0028446;2378;8;X;;;QS
0028446;;9;X;;;
0028446;10256;10;X;;;QS
0028446;2710;11;X;;;QS
0028446;4256;12;X;;;QS
0028446;2404;13;X;;;QS
0028446;1871;14;X;;;QS
0028447;12990;1;L;;;QS
0028447;0;2;Z;;;
0028447;9518;3;O;;5;MG
0028447;13182;4;L;;80;MG
0028447;3755;5;X;;;QS
0028447;17840;6;X;;;QS
0028447;1300;7;X;;;QS
0028447;2378;8;X;;;QS
0028447;;9;X;;;
0028447;10256;10;X;;;QS
0028447;2710;11;X;;;QS
0028447;4256;12;X;;;QS
0028447;2404;13;X;;;QS
0028447;1871;14;X;;;QS
0028448;12990;1;L;;;QS
0028448;0;2;Z;;;
0028448;9518;3;O;;5;MG
0028448;13182;4;L;;80;MG
0028448;3755;5;X;;;QS
0028448;17840;6;X;;;QS
0028448;1300;7;X;;;QS
0028448;2378;8;X;;;QS
0028448;;9;X;;;
0028448;10256;10;X;;;QS
0028448;2710;11;X;;;QS
0028448;4256;12;X;;;QS
0028448;2404;13;X;;;QS
0028448;1871;14;X;;;QS
0028449;12990;1;L;;;QS
0028449;0;2;Z;;;
0028449;9518;3;O;;5;MG
0028449;13182;4;L;;80;MG
0028449;3755;5;X;;;QS
0028449;17840;6;X;;;QS
0028449;1300;7;X;;;QS
0028449;2378;8;X;;;QS
0028449;;9;X;;;
0028449;10256;10;X;;;QS
0028449;2710;11;X;;;QS
0028449;4256;12;X;;;QS
0028449;2404;13;X;;;QS
0028449;1871;14;X;;;QS
0028450;12990;1;L;;;QS
0028450;0;2;Z;;;
0028450;9518;3;O;;5;MG
0028450;13182;4;L;;80;MG
0028450;3755;5;X;;;QS
0028450;17840;6;X;;;QS
0028450;1300;7;X;;;QS
0028450;2378;8;X;;;QS
0028450;;9;X;;;
0028450;10256;10;X;;;QS
0028450;2710;11;X;;;QS
0028450;4256;12;X;;;QS
0028450;2404;13;X;;;QS
0028450;1871;14;X;;;QS
0028451;12990;1;L;;;QS
0028451;0;2;Z;;;
0028451;9518;3;O;;5;MG
0028451;13182;4;L;;80;MG
0028451;3755;5;X;;;QS
0028451;17840;6;X;;;QS
0028451;1300;7;X;;;QS
0028451;2378;8;X;;;QS
0028451;;9;X;;;
0028451;10256;10;X;;;QS
0028451;2710;11;X;;;QS
0028451;4256;12;X;;;QS
0028451;2404;13;X;;;QS
0028451;1871;14;X;;;QS
0028452;12990;1;L;;;QS
0028452;0;2;Z;;;
0028452;9518;3;O;;5;MG
0028452;13182;4;L;;160;MG
0028452;3755;5;X;;;QS
0028452;17840;6;X;;;QS
0028452;1300;7;X;;;QS
0028452;2378;8;X;;;QS
0028452;;9;X;;;
0028452;10256;10;X;;;QS
0028452;2710;11;X;;;QS
0028452;4256;12;X;;;QS
0028452;2404;13;X;;;QS
0028452;1871;14;X;;;QS
0028453;12990;1;L;;;QS
0028453;0;2;Z;;;
0028453;9518;3;O;;5;MG
0028453;13182;4;L;;160;MG
0028453;3755;5;X;;;QS
0028453;17840;6;X;;;QS
0028453;1300;7;X;;;QS
0028453;2378;8;X;;;QS
0028453;;9;X;;;
0028453;10256;10;X;;;QS
0028453;2710;11;X;;;QS
0028453;4256;12;X;;;QS
0028453;2404;13;X;;;QS
0028453;1871;14;X;;;QS
0028454;12990;1;L;;;QS
0028454;0;2;Z;;;
0028454;9518;3;O;;5;MG
0028454;13182;4;L;;160;MG
0028454;3755;5;X;;;QS
0028454;17840;6;X;;;QS
0028454;1300;7;X;;;QS
0028454;2378;8;X;;;QS
0028454;;9;X;;;
0028454;10256;10;X;;;QS
0028454;2710;11;X;;;QS
0028454;4256;12;X;;;QS
0028454;2404;13;X;;;QS
0028454;1871;14;X;;;QS
0028455;12990;1;L;;;QS
0028455;0;2;Z;;;
0028455;9518;3;O;;5;MG
0028455;13182;4;L;;160;MG
0028455;3755;5;X;;;QS
0028455;17840;6;X;;;QS
0028455;1300;7;X;;;QS
0028455;2378;8;X;;;QS
0028455;;9;X;;;
0028455;10256;10;X;;;QS
0028455;2710;11;X;;;QS
0028455;4256;12;X;;;QS
0028455;2404;13;X;;;QS
0028455;1871;14;X;;;QS
0028456;12990;1;L;;;QS
0028456;0;2;Z;;;
0028456;9518;3;O;;5;MG
0028456;13182;4;L;;160;MG
0028456;3755;5;X;;;QS
0028456;17840;6;X;;;QS
0028456;1300;7;X;;;QS
0028456;2378;8;X;;;QS
0028456;;9;X;;;
0028456;10256;10;X;;;QS
0028456;2710;11;X;;;QS
0028456;4256;12;X;;;QS
0028456;2404;13;X;;;QS
0028456;1871;14;X;;;QS
0028457;12990;1;L;;;QS
0028457;0;2;Z;;;
0028457;9518;3;O;;5;MG
0028457;13182;4;L;;160;MG
0028457;3755;5;X;;;QS
0028457;17840;6;X;;;QS
0028457;1300;7;X;;;QS
0028457;2378;8;X;;;QS
0028457;;9;X;;;
0028457;10256;10;X;;;QS
0028457;2710;11;X;;;QS
0028457;4256;12;X;;;QS
0028457;2404;13;X;;;QS
0028457;1871;14;X;;;QS
0028458;12990;1;L;;;QS
0028458;0;2;Z;;;
0028458;9518;3;O;;5;MG
0028458;13182;4;L;;160;MG
0028458;3755;5;X;;;QS
0028458;17840;6;X;;;QS
0028458;1300;7;X;;;QS
0028458;2378;8;X;;;QS
0028458;;9;X;;;
0028458;10256;10;X;;;QS
0028458;2710;11;X;;;QS
0028458;4256;12;X;;;QS
0028458;2404;13;X;;;QS
0028458;1871;14;X;;;QS
0028459;12990;1;L;;;QS
0028459;0;2;Z;;;
0028459;9518;3;O;;5;MG
0028459;13182;4;L;;160;MG
0028459;3755;5;X;;;QS
0028459;17840;6;X;;;QS
0028459;1300;7;X;;;QS
0028459;2378;8;X;;;QS
0028459;;9;X;;;
0028459;10256;10;X;;;QS
0028459;2710;11;X;;;QS
0028459;4256;12;X;;;QS
0028459;2404;13;X;;;QS
0028459;1871;14;X;;;QS
0028460;12990;1;L;;;QS
0028460;0;2;Z;;;
0028460;9518;3;O;;10;MG
0028460;13182;4;L;;160;MG
0028460;3755;5;X;;;QS
0028460;17840;6;X;;;QS
0028460;1300;7;X;;;QS
0028460;2378;8;X;;;QS
0028460;;9;X;;;
0028460;10256;10;X;;;QS
0028460;2710;11;X;;;QS
0028460;4256;12;X;;;QS
0028460;4290;13;X;;;QS
0028460;2404;14;X;;;QS
0028460;1871;15;X;;;QS
0028461;12990;1;L;;;QS
0028461;0;2;Z;;;
0028461;9518;3;O;;10;MG
0028461;13182;4;L;;160;MG
0028461;3755;5;X;;;QS
0028461;17840;6;X;;;QS
0028461;1300;7;X;;;QS
0028461;2378;8;X;;;QS
0028461;;9;X;;;
0028461;10256;10;X;;;QS
0028461;2710;11;X;;;QS
0028461;4256;12;X;;;QS
0028461;4290;13;X;;;QS
0028461;2404;14;X;;;QS
0028461;1871;15;X;;;QS
0028462;12990;1;L;;;QS
0028462;0;2;Z;;;
0028462;9518;3;O;;10;MG
0028462;13182;4;L;;160;MG
0028462;3755;5;X;;;QS
0028462;17840;6;X;;;QS
0028462;1300;7;X;;;QS
0028462;2378;8;X;;;QS
0028462;;9;X;;;
0028462;10256;10;X;;;QS
0028462;2710;11;X;;;QS
0028462;4256;12;X;;;QS
0028462;4290;13;X;;;QS
0028462;2404;14;X;;;QS
0028462;1871;15;X;;;QS
0028463;12990;1;L;;;QS
0028463;0;2;Z;;;
0028463;9518;3;O;;10;MG
0028463;13182;4;L;;160;MG
0028463;3755;5;X;;;QS
0028463;17840;6;X;;;QS
0028463;1300;7;X;;;QS
0028463;2378;8;X;;;QS
0028463;;9;X;;;
0028463;10256;10;X;;;QS
0028463;2710;11;X;;;QS
0028463;4256;12;X;;;QS
0028463;4290;13;X;;;QS
0028463;2404;14;X;;;QS
0028463;1871;15;X;;;QS
0028464;12990;1;L;;;QS
0028464;0;2;Z;;;
0028464;9518;3;O;;10;MG
0028464;13182;4;L;;160;MG
0028464;3755;5;X;;;QS
0028464;17840;6;X;;;QS
0028464;1300;7;X;;;QS
0028464;2378;8;X;;;QS
0028464;;9;X;;;
0028464;10256;10;X;;;QS
0028464;2710;11;X;;;QS
0028464;4256;12;X;;;QS
0028464;4290;13;X;;;QS
0028464;2404;14;X;;;QS
0028464;1871;15;X;;;QS
0028465;12990;1;L;;;QS
0028465;0;2;Z;;;
0028465;9518;3;O;;10;MG
0028465;13182;4;L;;160;MG
0028465;3755;5;X;;;QS
0028465;17840;6;X;;;QS
0028465;1300;7;X;;;QS
0028465;2378;8;X;;;QS
0028465;;9;X;;;
0028465;10256;10;X;;;QS
0028465;2710;11;X;;;QS
0028465;4256;12;X;;;QS
0028465;4290;13;X;;;QS
0028465;2404;14;X;;;QS
0028465;1871;15;X;;;QS
0028466;12990;1;L;;;QS
0028466;0;2;Z;;;
0028466;9518;3;O;;10;MG
0028466;13182;4;L;;160;MG
0028466;3755;5;X;;;QS
0028466;17840;6;X;;;QS
0028466;1300;7;X;;;QS
0028466;2378;8;X;;;QS
0028466;;9;X;;;
0028466;10256;10;X;;;QS
0028466;2710;11;X;;;QS
0028466;4256;12;X;;;QS
0028466;4290;13;X;;;QS
0028466;2404;14;X;;;QS
0028466;1871;15;X;;;QS
0028467;12990;1;L;;;QS
0028467;0;2;Z;;;
0028467;9518;3;O;;10;MG
0028467;13182;4;L;;160;MG
0028467;3755;5;X;;;QS
0028467;17840;6;X;;;QS
0028467;1300;7;X;;;QS
0028467;2378;8;X;;;QS
0028467;;9;X;;;
0028467;10256;10;X;;;QS
0028467;2710;11;X;;;QS
0028467;4256;12;X;;;QS
0028467;4290;13;X;;;QS
0028467;2404;14;X;;;QS
0028467;1871;15;X;;;QS
0028474;12990;1;L;;;QS
0028474;0;2;Z;;;
0028474;9518;3;O;;5;MG
0028474;13182;4;L;;80;MG
0028474;3755;5;X;;;QS
0028474;17840;6;X;;;QS
0028474;1300;7;X;;;QS
0028474;2378;8;X;;;QS
0028474;;9;X;;;
0028474;10256;10;X;;;QS
0028474;2710;11;X;;;QS
0028474;4256;12;X;;;QS
0028474;2404;13;X;;;QS
0028474;1871;14;X;;;QS
0028475;12990;1;L;;;QS
0028475;0;2;Z;;;
0028475;9518;3;O;;5;MG
0028475;13182;4;L;;80;MG
0028475;3755;5;X;;;QS
0028475;17840;6;X;;;QS
0028475;1300;7;X;;;QS
0028475;2378;8;X;;;QS
0028475;;9;X;;;
0028475;10256;10;X;;;QS
0028475;2710;11;X;;;QS
0028475;4256;12;X;;;QS
0028475;2404;13;X;;;QS
0028475;1871;14;X;;;QS
0028476;12990;1;L;;;QS
0028476;0;2;Z;;;
0028476;9518;3;O;;5;MG
0028476;13182;4;L;;80;MG
0028476;3755;5;X;;;QS
0028476;17840;6;X;;;QS
0028476;1300;7;X;;;QS
0028476;2378;8;X;;;QS
0028476;;9;X;;;
0028476;10256;10;X;;;QS
0028476;2710;11;X;;;QS
0028476;4256;12;X;;;QS
0028476;2404;13;X;;;QS
0028476;1871;14;X;;;QS
0028477;12990;1;L;;;QS
0028477;0;2;Z;;;
0028477;9518;3;O;;5;MG
0028477;13182;4;L;;80;MG
0028477;3755;5;X;;;QS
0028477;17840;6;X;;;QS
0028477;1300;7;X;;;QS
0028477;2378;8;X;;;QS
0028477;;9;X;;;
0028477;10256;10;X;;;QS
0028477;2710;11;X;;;QS
0028477;4256;12;X;;;QS
0028477;2404;13;X;;;QS
0028477;1871;14;X;;;QS
0028478;12990;1;L;;;QS
0028478;0;2;Z;;;
0028478;9518;3;O;;5;MG
0028478;13182;4;L;;80;MG
0028478;3755;5;X;;;QS
0028478;17840;6;X;;;QS
0028478;1300;7;X;;;QS
0028478;2378;8;X;;;QS
0028478;;9;X;;;
0028478;10256;10;X;;;QS
0028478;2710;11;X;;;QS
0028478;4256;12;X;;;QS
0028478;2404;13;X;;;QS
0028478;1871;14;X;;;QS
0028479;12990;1;L;;;QS
0028479;0;2;Z;;;
0028479;9518;3;O;;5;MG
0028479;13182;4;L;;80;MG
0028479;3755;5;X;;;QS
0028479;17840;6;X;;;QS
0028479;1300;7;X;;;QS
0028479;2378;8;X;;;QS
0028479;;9;X;;;
0028479;10256;10;X;;;QS
0028479;2710;11;X;;;QS
0028479;4256;12;X;;;QS
0028479;2404;13;X;;;QS
0028479;1871;14;X;;;QS
0028480;12990;1;L;;;QS
0028480;0;2;Z;;;
0028480;9518;3;O;;5;MG
0028480;13182;4;L;;80;MG
0028480;3755;5;X;;;QS
0028480;17840;6;X;;;QS
0028480;1300;7;X;;;QS
0028480;2378;8;X;;;QS
0028480;;9;X;;;
0028480;10256;10;X;;;QS
0028480;2710;11;X;;;QS
0028480;4256;12;X;;;QS
0028480;2404;13;X;;;QS
0028480;1871;14;X;;;QS
0028481;12990;1;L;;;QS
0028481;0;2;Z;;;
0028481;9518;3;O;;5;MG
0028481;13182;4;L;;80;MG
0028481;3755;5;X;;;QS
0028481;17840;6;X;;;QS
0028481;1300;7;X;;;QS
0028481;2378;8;X;;;QS
0028481;;9;X;;;
0028481;10256;10;X;;;QS
0028481;2710;11;X;;;QS
0028481;4256;12;X;;;QS
0028481;2404;13;X;;;QS
0028481;1871;14;X;;;QS
0028482;12990;1;L;;;QS
0028482;0;2;Z;;;
0028482;9518;3;O;;5;MG
0028482;13182;4;L;;160;MG
0028482;3755;5;X;;;QS
0028482;17840;6;X;;;QS
0028482;1300;7;X;;;QS
0028482;2378;8;X;;;QS
0028482;;9;X;;;
0028482;10256;10;X;;;QS
0028482;2710;11;X;;;QS
0028482;4256;12;X;;;QS
0028482;2404;13;X;;;QS
0028482;1871;14;X;;;QS
0028483;12990;1;L;;;QS
0028483;0;2;Z;;;
0028483;9518;3;O;;5;MG
0028483;13182;4;L;;160;MG
0028483;3755;5;X;;;QS
0028483;17840;6;X;;;QS
0028483;1300;7;X;;;QS
0028483;2378;8;X;;;QS
0028483;;9;X;;;
0028483;10256;10;X;;;QS
0028483;2710;11;X;;;QS
0028483;4256;12;X;;;QS
0028483;2404;13;X;;;QS
0028483;1871;14;X;;;QS
0028484;12990;1;L;;;QS
0028484;0;2;Z;;;
0028484;9518;3;O;;5;MG
0028484;13182;4;L;;160;MG
0028484;3755;5;X;;;QS
0028484;17840;6;X;;;QS
0028484;1300;7;X;;;QS
0028484;2378;8;X;;;QS
0028484;;9;X;;;
0028484;10256;10;X;;;QS
0028484;2710;11;X;;;QS
0028484;4256;12;X;;;QS
0028484;2404;13;X;;;QS
0028484;1871;14;X;;;QS
0028485;12990;1;L;;;QS
0028485;0;2;Z;;;
0028485;9518;3;O;;5;MG
0028485;13182;4;L;;160;MG
0028485;3755;5;X;;;QS
0028485;17840;6;X;;;QS
0028485;1300;7;X;;;QS
0028485;2378;8;X;;;QS
0028485;;9;X;;;
0028485;10256;10;X;;;QS
0028485;2710;11;X;;;QS
0028485;4256;12;X;;;QS
0028485;2404;13;X;;;QS
0028485;1871;14;X;;;QS
0028486;12990;1;L;;;QS
0028486;0;2;Z;;;
0028486;9518;3;O;;5;MG
0028486;13182;4;L;;160;MG
0028486;3755;5;X;;;QS
0028486;17840;6;X;;;QS
0028486;1300;7;X;;;QS
0028486;2378;8;X;;;QS
0028486;;9;X;;;
0028486;10256;10;X;;;QS
0028486;2710;11;X;;;QS
0028486;4256;12;X;;;QS
0028486;2404;13;X;;;QS
0028486;1871;14;X;;;QS
0028487;12990;1;L;;;QS
0028487;0;2;Z;;;
0028487;9518;3;O;;5;MG
0028487;13182;4;L;;160;MG
0028487;3755;5;X;;;QS
0028487;17840;6;X;;;QS
0028487;1300;7;X;;;QS
0028487;2378;8;X;;;QS
0028487;;9;X;;;
0028487;10256;10;X;;;QS
0028487;2710;11;X;;;QS
0028487;4256;12;X;;;QS
0028487;2404;13;X;;;QS
0028487;1871;14;X;;;QS
0028488;12990;1;L;;;QS
0028488;0;2;Z;;;
0028488;9518;3;O;;5;MG
0028488;13182;4;L;;160;MG
0028488;3755;5;X;;;QS
0028488;17840;6;X;;;QS
0028488;1300;7;X;;;QS
0028488;2378;8;X;;;QS
0028488;;9;X;;;
0028488;10256;10;X;;;QS
0028488;2710;11;X;;;QS
0028488;4256;12;X;;;QS
0028488;2404;13;X;;;QS
0028488;1871;14;X;;;QS
0028489;12990;1;L;;;QS
0028489;0;2;Z;;;
0028489;9518;3;O;;5;MG
0028489;13182;4;L;;160;MG
0028489;3755;5;X;;;QS
0028489;17840;6;X;;;QS
0028489;1300;7;X;;;QS
0028489;2378;8;X;;;QS
0028489;;9;X;;;
0028489;10256;10;X;;;QS
0028489;2710;11;X;;;QS
0028489;4256;12;X;;;QS
0028489;2404;13;X;;;QS
0028489;1871;14;X;;;QS
0028490;12990;1;L;;;QS
0028490;0;2;Z;;;
0028490;9518;3;O;;10;MG
0028490;13182;4;L;;160;MG
0028490;3755;5;X;;;QS
0028490;17840;6;X;;;QS
0028490;1300;7;X;;;QS
0028490;2378;8;X;;;QS
0028490;;9;X;;;
0028490;10256;10;X;;;QS
0028490;2710;11;X;;;QS
0028490;4256;12;X;;;QS
0028490;4290;13;X;;;QS
0028490;2404;14;X;;;QS
0028490;1871;15;X;;;QS
0028491;12990;1;L;;;QS
0028491;0;2;Z;;;
0028491;9518;3;O;;10;MG
0028491;13182;4;L;;160;MG
0028491;3755;5;X;;;QS
0028491;17840;6;X;;;QS
0028491;1300;7;X;;;QS
0028491;2378;8;X;;;QS
0028491;;9;X;;;
0028491;10256;10;X;;;QS
0028491;2710;11;X;;;QS
0028491;4256;12;X;;;QS
0028491;4290;13;X;;;QS
0028491;2404;14;X;;;QS
0028491;1871;15;X;;;QS
0028492;12990;1;L;;;QS
0028492;0;2;Z;;;
0028492;9518;3;O;;10;MG
0028492;13182;4;L;;160;MG
0028492;3755;5;X;;;QS
0028492;17840;6;X;;;QS
0028492;1300;7;X;;;QS
0028492;2378;8;X;;;QS
0028492;;9;X;;;
0028492;10256;10;X;;;QS
0028492;2710;11;X;;;QS
0028492;4256;12;X;;;QS
0028492;4290;13;X;;;QS
0028492;2404;14;X;;;QS
0028492;1871;15;X;;;QS
0028493;12990;1;L;;;QS
0028493;0;2;Z;;;
0028493;9518;3;O;;10;MG
0028493;13182;4;L;;160;MG
0028493;3755;5;X;;;QS
0028493;17840;6;X;;;QS
0028493;1300;7;X;;;QS
0028493;2378;8;X;;;QS
0028493;;9;X;;;
0028493;10256;10;X;;;QS
0028493;2710;11;X;;;QS
0028493;4256;12;X;;;QS
0028493;4290;13;X;;;QS
0028493;2404;14;X;;;QS
0028493;1871;15;X;;;QS
0028494;12990;1;L;;;QS
0028494;0;2;Z;;;
0028494;9518;3;O;;10;MG
0028494;13182;4;L;;160;MG
0028494;3755;5;X;;;QS
0028494;17840;6;X;;;QS
0028494;1300;7;X;;;QS
0028494;2378;8;X;;;QS
0028494;;9;X;;;
0028494;10256;10;X;;;QS
0028494;2710;11;X;;;QS
0028494;4256;12;X;;;QS
0028494;4290;13;X;;;QS
0028494;2404;14;X;;;QS
0028494;1871;15;X;;;QS
0028495;12990;1;L;;;QS
0028495;0;2;Z;;;
0028495;9518;3;O;;10;MG
0028495;13182;4;L;;160;MG
0028495;3755;5;X;;;QS
0028495;17840;6;X;;;QS
0028495;1300;7;X;;;QS
0028495;2378;8;X;;;QS
0028495;;9;X;;;
0028495;10256;10;X;;;QS
0028495;2710;11;X;;;QS
0028495;4256;12;X;;;QS
0028495;4290;13;X;;;QS
0028495;2404;14;X;;;QS
0028495;1871;15;X;;;QS
0028496;12990;1;L;;;QS
0028496;0;2;Z;;;
0028496;9518;3;O;;10;MG
0028496;13182;4;L;;160;MG
0028496;3755;5;X;;;QS
0028496;17840;6;X;;;QS
0028496;1300;7;X;;;QS
0028496;2378;8;X;;;QS
0028496;;9;X;;;
0028496;10256;10;X;;;QS
0028496;2710;11;X;;;QS
0028496;4256;12;X;;;QS
0028496;4290;13;X;;;QS
0028496;2404;14;X;;;QS
0028496;1871;15;X;;;QS
0028497;12990;1;L;;;QS
0028497;0;2;Z;;;
0028497;9518;3;O;;10;MG
0028497;13182;4;L;;160;MG
0028497;3755;5;X;;;QS
0028497;17840;6;X;;;QS
0028497;1300;7;X;;;QS
0028497;2378;8;X;;;QS
0028497;;9;X;;;
0028497;10256;10;X;;;QS
0028497;2710;11;X;;;QS
0028497;4256;12;X;;;QS
0028497;4290;13;X;;;QS
0028497;2404;14;X;;;QS
0028497;1871;15;X;;;QS
0028556;12990;1;L;;;QS
0028556;0;2;Z;;;
0028556;9518;3;O;;5;MG
0028556;13182;4;L;;80;MG
0028556;3755;5;X;;;QS
0028556;17840;6;X;;;QS
0028556;1300;7;X;;;QS
0028556;2378;8;X;;;QS
0028556;;9;X;;;
0028556;10256;10;X;;;QS
0028556;2710;11;X;;;QS
0028556;4256;12;X;;;QS
0028556;2404;13;X;;;QS
0028556;1871;14;X;;;QS
0028557;12990;1;L;;;QS
0028557;0;2;Z;;;
0028557;9518;3;O;;5;MG
0028557;13182;4;L;;80;MG
0028557;3755;5;X;;;QS
0028557;17840;6;X;;;QS
0028557;1300;7;X;;;QS
0028557;2378;8;X;;;QS
0028557;;9;X;;;
0028557;10256;10;X;;;QS
0028557;2710;11;X;;;QS
0028557;4256;12;X;;;QS
0028557;2404;13;X;;;QS
0028557;1871;14;X;;;QS
0028558;12990;1;L;;;QS
0028558;0;2;Z;;;
0028558;9518;3;O;;5;MG
0028558;13182;4;L;;80;MG
0028558;3755;5;X;;;QS
0028558;17840;6;X;;;QS
0028558;1300;7;X;;;QS
0028558;2378;8;X;;;QS
0028558;;9;X;;;
0028558;10256;10;X;;;QS
0028558;2710;11;X;;;QS
0028558;4256;12;X;;;QS
0028558;2404;13;X;;;QS
0028558;1871;14;X;;;QS
0028559;12990;1;L;;;QS
0028559;0;2;Z;;;
0028559;9518;3;O;;5;MG
0028559;13182;4;L;;80;MG
0028559;3755;5;X;;;QS
0028559;17840;6;X;;;QS
0028559;1300;7;X;;;QS
0028559;2378;8;X;;;QS
0028559;;9;X;;;
0028559;10256;10;X;;;QS
0028559;2710;11;X;;;QS
0028559;4256;12;X;;;QS
0028559;2404;13;X;;;QS
0028559;1871;14;X;;;QS
0028560;12990;1;L;;;QS
0028560;0;2;Z;;;
0028560;9518;3;O;;5;MG
0028560;13182;4;L;;80;MG
0028560;3755;5;X;;;QS
0028560;17840;6;X;;;QS
0028560;1300;7;X;;;QS
0028560;2378;8;X;;;QS
0028560;;9;X;;;
0028560;10256;10;X;;;QS
0028560;2710;11;X;;;QS
0028560;4256;12;X;;;QS
0028560;2404;13;X;;;QS
0028560;1871;14;X;;;QS
0028561;12990;1;L;;;QS
0028561;0;2;Z;;;
0028561;9518;3;O;;5;MG
0028561;13182;4;L;;80;MG
0028561;3755;5;X;;;QS
0028561;17840;6;X;;;QS
0028561;1300;7;X;;;QS
0028561;2378;8;X;;;QS
0028561;;9;X;;;
0028561;10256;10;X;;;QS
0028561;2710;11;X;;;QS
0028561;4256;12;X;;;QS
0028561;2404;13;X;;;QS
0028561;1871;14;X;;;QS
0028562;12990;1;L;;;QS
0028562;0;2;Z;;;
0028562;9518;3;O;;5;MG
0028562;13182;4;L;;80;MG
0028562;3755;5;X;;;QS
0028562;17840;6;X;;;QS
0028562;1300;7;X;;;QS
0028562;2378;8;X;;;QS
0028562;;9;X;;;
0028562;10256;10;X;;;QS
0028562;2710;11;X;;;QS
0028562;4256;12;X;;;QS
0028562;2404;13;X;;;QS
0028562;1871;14;X;;;QS
0028563;12990;1;L;;;QS
0028563;0;2;Z;;;
0028563;9518;3;O;;5;MG
0028563;13182;4;L;;80;MG
0028563;3755;5;X;;;QS
0028563;17840;6;X;;;QS
0028563;1300;7;X;;;QS
0028563;2378;8;X;;;QS
0028563;;9;X;;;
0028563;10256;10;X;;;QS
0028563;2710;11;X;;;QS
0028563;4256;12;X;;;QS
0028563;2404;13;X;;;QS
0028563;1871;14;X;;;QS
0028564;12990;1;L;;;QS
0028564;0;2;Z;;;
0028564;9518;3;O;;5;MG
0028564;13182;4;L;;160;MG
0028564;3755;5;X;;;QS
0028564;17840;6;X;;;QS
0028564;1300;7;X;;;QS
